parameter_name,TEMPERATE_CEREALS,RICE,MAIZE,TROPICAL_CEREALS,PULSES,TEMPERATE_ROOTS,TROPICAL_ROOTS,SUNFLOWER,SOYBEAN,GROUNDNUT,RAPESEED,SUGARCANE
photosens,long,short,short,short,long,long,short,long,short,short,long,long
basetemp,0,2,5,2,0,2,2,2,1,2,0,2
basetemp2,0,5,15,10,1,3,15,6,5,14,0,15
basephoto,8,24,24,24,8,8,24,8,24,24,8,8
fphu.ant,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
vern.temp.min,-4,,,,,,,,,,-4,
vern.temp.opt.min,3,,,,,,,,,,3,
vern.temp.opt.max,10,,,,,,,,,,10,
vern.temp.max,17,,,,,,,,,,17,
max.vern.days,70,,,,,,,,,,70,
