Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,NBP_nat,transp,evap,interc,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
-2099,-0.00505119,0,0,0.00505119,2.86626e-06,0,0,-0.00504833,-0.00504833,0,0.00244279,0,0,6.92635e-07,-5.22966e-07,0,0.00476041,0.199002,0.0679541,0,2.86626e-06,9.38341e-10,0,0,0.000203976,5.06315e-07,9.4055e-08,0,0,0.0132668,0.00453028,0,9.4055e-08,2.6441e-05,0.000197499
-2098,-0.00470432,2.33327e-05,1.20308e-05,0.00471635,2.8249e-06,0,5.24033e-09,-0.0047015,-0.0047015,1.85294e-08,0.00265073,2.73599e-08,4.09883e-11,7.14886e-07,-5.55626e-07,2.51536e-11,0.00519326,0.194288,0.0678927,1.18794e-06,1.47916e-05,9.68427e-10,2.3979e-07,1.73998e-11,0.000297008,5.06315e-07,9.26769e-08,0,7.01579e-11,0.0129525,0.00452618,2.28266e-08,3.7445e-07,2.48556e-05,0.000216725
-2097,-0.00449376,0.000139952,7.54347e-05,0.0045692,2.58532e-06,0,3.54747e-08,-0.00449121,-0.00449121,7.97187e-07,0.00241185,8.83943e-08,4.48161e-11,7.8139e-07,-6.06097e-07,1.70279e-10,0.00407644,0.189728,0.0678311,9.09993e-06,7.59928e-05,9.99981e-10,1.60025e-06,2.14707e-12,0.000244994,5.06315e-07,8.4692e-08,0,4.693e-10,0.0126481,0.00452208,1.74315e-07,1.79438e-06,2.37482e-05,0.00027622
-2096,-0.00403222,0.000809815,0.000436962,0.00446918,1.50652e-06,0,2.22514e-07,-0.00403093,-0.00403093,3.15315e-05,0.00217519,8.54699e-07,2.43568e-10,7.18016e-07,-5.49413e-07,1.06807e-09,0.00404666,0.1853,0.0677689,6.10851e-05,0.000421602,9.57235e-10,9.53453e-06,3.44255e-13,0.000291339,5.06315e-07,4.87347e-08,0,2.94666e-09,0.0123513,0.00451793,1.1895e-06,9.87297e-06,2.29884e-05,0.00027393
-2095,-0.00227456,0.00367546,0.00194778,0.00422233,3.42596e-07,0,1.07809e-06,-0.00227529,-0.00227529,0.000534401,0.00146777,2.46287e-05,1.98581e-09,7.09944e-07,-5.48955e-07,5.17484e-09,0.00481767,0.181274,0.0677089,0.000335977,0.00189762,9.73964e-10,4.20367e-05,5.27883e-12,0.000325146,5.06315e-07,9.94188e-09,0,1.41105e-08,0.0120754,0.00451393,6.39748e-06,4.43353e-05,2.25474e-05,0.000185886
-2094,-0.00116542,0.0060051,0.00303996,0.00420538,2.76007e-07,0,2.15781e-06,-0.0011673,-0.0011673,0.00114422,0.000730668,0.000224896,2.03375e-09,9.22165e-07,-6.67361e-07,1.03575e-08,0.00548821,0.178311,0.0676523,0.00123965,0.00279046,9.81471e-10,5.64955e-05,7.65665e-12,0.000287804,5.06315e-07,7.72917e-09,0,2.66888e-08,0.0118326,0.00451015,2.29904e-05,6.54597e-05,2.20499e-05,0.000104134
-2093,-0.00117285,0.00710098,0.00350744,0.00468029,2.73783e-07,0,2.81605e-06,-0.00117539,-0.00117539,0.00135321,0.000594956,0.000282625,5.0895e-09,9.76301e-07,-6.63417e-07,1.3517e-08,0.00442047,0.17633,0.0676006,0.00226708,0.00256903,1.00342e-09,6.03563e-05,4.94099e-13,0.0001808,5.06315e-07,7.66688e-09,0,3.41824e-08,0.0116244,0.00450671,4.38286e-05,6.0326e-05,2.13493e-05,0.000117031
-2092,-0.00176671,0.00666597,0.00328716,0.00505387,2.70478e-07,0,2.72882e-06,-0.00176917,-0.00176917,0.0011838,0.000705954,0.000210317,1.95521e-09,9.76328e-07,-6.70765e-07,1.30983e-08,0.00389423,0.174617,0.0675595,0.00252648,0.00225418,9.7273e-10,5.63723e-05,7.40754e-10,0.000160377,5.06315e-07,7.57433e-09,0,3.32376e-08,0.011453,0.00450396,5.01624e-05,5.26605e-05,2.14681e-05,0.000129774
-2091,-0.00175689,0.00672426,0.00336771,0.00512459,2.65962e-07,0,2.707e-06,-0.00175933,-0.00175933,0.00118779,0.00070829,0.000180568,1.50086e-09,9.58907e-07,-6.57729e-07,1.29936e-08,0.00389423,0.172954,0.0675224,0.00263057,0.0020536,9.42263e-10,6.0243e-05,3.73135e-09,0.000168273,5.06315e-07,7.44788e-09,0,3.30866e-08,0.0112987,0.00450149,5.38038e-05,4.7065e-05,2.09438e-05,0.00011874
-2090,-0.00165742,0.00715389,0.0035879,0.00524533,2.5997e-07,0,2.81089e-06,-0.00165997,-0.00165997,0.00132337,0.000692923,0.000190803,9.25853e-10,8.91492e-07,-6.08455e-07,1.34923e-08,0.00451079,0.171313,0.0674873,0.0027436,0.00192189,9.48159e-10,6.66535e-05,9.70548e-09,0.000181244,5.06315e-07,7.28009e-09,0,3.42677e-08,0.0111543,0.00449915,5.786e-05,4.24284e-05,1.98241e-05,8.40999e-05
-2089,-0.0017312,0.00665372,0.00333623,0.00506743,2.52526e-07,0,2.8682e-06,-0.00173381,-0.00173381,0.00114664,0.000610468,0.00012838,4.24522e-09,9.78244e-07,-7.09035e-07,1.37674e-08,0.0037437,0.16953,0.0674544,0.00283869,0.00187746,9.38605e-10,6.26345e-05,4.33733e-09,0.00013918,5.06315e-07,7.07162e-09,0,3.44698e-08,0.0110172,0.00449695,6.0434e-05,3.99848e-05,2.03026e-05,8.18668e-05
-2088,-0.00154473,0.00705327,0.00356536,0.0051101,2.43732e-07,0,3.02284e-06,-0.00154751,-0.00154751,0.0013031,0.000680117,0.000146534,7.92124e-10,8.98172e-07,-6.41782e-07,1.45096e-08,0.00412989,0.167885,0.0674236,0.00290275,0.00191079,9.73605e-10,6.98084e-05,5.25168e-09,0.00013077,5.06315e-07,6.82535e-09,0,3.6277e-08,0.0108923,0.00449489,6.31021e-05,3.92252e-05,1.76286e-05,7.72603e-05
-2087,-0.00134925,0.00752916,0.00393533,0.00528458,2.33686e-07,0,3.32337e-06,-0.00135234,-0.00135234,0.00138226,0.000739138,0.000192672,5.62484e-10,8.22257e-07,-5.76139e-07,1.59522e-08,0.00512954,0.166236,0.0673922,0.00305617,0.00205441,9.12526e-10,7.88738e-05,2.07494e-08,0.000146355,5.06315e-07,6.54404e-09,0,3.95553e-08,0.010769,0.00449279,6.81093e-05,3.95675e-05,1.88e-05,4.81225e-05
-2086,-0.00171033,0.00700243,0.00353989,0.00525022,2.22733e-07,0,3.3408e-06,-0.00171345,-0.00171345,0.00118788,0.00064228,0.000146257,1.17492e-09,8.79742e-07,-6.48289e-07,1.60359e-08,0.00459778,0.164429,0.0673628,0.00293363,0.00227153,9.34589e-10,6.97692e-05,8.33828e-08,0.000110999,5.06315e-07,6.23732e-09,0,3.84996e-08,0.0106494,0.00449082,6.53404e-05,4.16679e-05,1.74018e-05,5.9306e-05
-2085,-0.0011546,0.00777644,0.00404146,0.00519606,2.09877e-07,0,3.77048e-06,-0.00115816,-0.00115816,0.0014088,0.000721531,0.000193722,4.4502e-10,7.9227e-07,-5.63194e-07,1.80983e-08,0.00512954,0.162788,0.067332,0.00311217,0.00257627,9.0655e-10,8.0481e-05,7.28235e-08,0.000128273,5.06315e-07,5.87729e-09,0,4.25005e-08,0.0105335,0.00448876,6.9992e-05,4.39233e-05,1.81504e-05,3.97711e-05
-2084,-0.0011138,0.00790878,0.00409219,0.00520599,1.95486e-07,0,4.08699e-06,-0.00111769,-0.00111769,0.0014108,0.00072461,0.000199137,3.63772e-10,7.82681e-07,-5.5773e-07,1.96176e-08,0.00512954,0.1612,0.0673029,0.00317061,0.00298805,9.13277e-10,8.05675e-05,8.4116e-08,0.000108546,5.06315e-07,5.4743e-09,0,4.43713e-08,0.010425,0.00448681,7.12964e-05,4.7528e-05,1.77904e-05,3.55633e-05
-2083,-0.0010694,0.00778689,0.00405561,0.00512501,1.7865e-07,0,4.39101e-06,-0.00107361,-0.00107361,0.00130175,0.000678676,0.000191435,7.54045e-10,7.66024e-07,-5.58212e-07,2.10769e-08,0.00450625,0.159617,0.0672751,0.00313165,0.00353711,9.5535e-10,7.78953e-05,2.50107e-07,9.41574e-05,5.10296e-07,5.00282e-09,0,4.52628e-08,0.0103211,0.00448493,6.94166e-05,5.34433e-05,1.79196e-05,4.16293e-05
-2082,-0.000604133,0.00873336,0.00448568,0.00508982,1.58296e-07,0,4.98675e-06,-0.000608962,-0.000608962,0.00155388,0.000633091,0.000173205,6.13421e-10,8.18187e-07,-5.92781e-07,2.39364e-08,0.00375441,0.158177,0.0672472,0.00322508,0.00427462,9.52198e-10,8.41377e-05,9.34196e-08,8.05791e-05,5.06315e-07,4.43285e-09,0,4.90134e-08,0.0102227,0.00448305,7.0823e-05,6.0292e-05,1.6212e-05,5.336e-05
-2081,-0.00122609,0.00796978,0.00383146,0.00505755,1.41948e-07,0,5.15774e-06,-0.0012311,-0.0012311,0.00126977,0.000594686,0.000182734,4.32485e-10,8.03918e-07,-6.14964e-07,2.47572e-08,0.00459778,0.156524,0.0672199,0.00301021,0.00491247,9.19682e-10,6.92394e-05,9.06613e-08,0.000104145,5.07451e-07,3.97504e-09,0,4.7126e-08,0.0101227,0.00448121,6.43805e-05,6.59942e-05,1.53281e-05,5.12945e-05
-2080,-0.000637881,0.00837002,0.00413607,0.00477395,1.22588e-07,0,6.12108e-06,-0.00064388,-0.00064388,0.00138786,0.000536197,0.000235631,3.91776e-10,7.38466e-07,-5.61527e-07,2.93812e-08,0.00508987,0.154986,0.0671909,0.00310719,0.00570999,9.2349e-10,7.58062e-05,1.8759e-07,0.000102544,5.1101e-07,3.4329e-09,0,5.44555e-08,0.0100235,0.00447926,6.51679e-05,7.58149e-05,1.5961e-05,3.71794e-05
-2079,-0.000698345,0.00858643,0.00406061,0.00475896,1.04313e-07,0,6.20508e-06,-0.000704446,-0.000704446,0.00142457,0.000551772,0.000226417,1.17499e-10,7.55543e-07,-5.63863e-07,2.97844e-08,0.00412989,0.153564,0.0671637,0.00303526,0.00649919,9.81004e-10,7.1688e-05,1.31505e-07,7.8163e-05,5.06315e-07,2.92114e-09,0,5.26412e-08,0.00993249,0.00447742,6.24937e-05,8.32245e-05,1.26222e-05,4.91105e-05
-2078,-0.00053191,0.00872893,0.00424115,0.00477306,8.32589e-08,0,6.8481e-06,-0.000538675,-0.000538675,0.00141851,0.000567109,0.000293706,2.07984e-10,7.01399e-07,-5.31792e-07,3.28709e-08,0.00450625,0.152035,0.0671342,0.00303195,0.00749395,9.44236e-10,7.21434e-05,2.08571e-07,9.5601e-05,5.20201e-07,2.33154e-09,0,5.53458e-08,0.00983664,0.00447543,6.08598e-05,9.28166e-05,1.55808e-05,3.89086e-05
-2077,-0.000544862,0.00874355,0.00409182,0.00463669,6.49442e-08,0,7.38951e-06,-0.000552187,-0.000552187,0.00146029,0.000632539,0.000398819,1.23122e-10,6.2641e-07,-4.93269e-07,3.54696e-08,0.00658806,0.150612,0.0671056,0.00297543,0.00842179,9.43144e-10,6.33123e-05,2.24278e-07,9.74491e-05,5.28639e-07,1.81867e-09,0,5.52925e-08,0.00974619,0.00447349,5.75184e-05,9.70155e-05,1.53224e-05,3.17863e-05
-2076,-0.000971781,0.00828636,0.00358878,0.00456056,5.37221e-08,0,7.6949e-06,-0.000979422,-0.000979422,0.00137111,0.00048122,0.00025832,2.855e-10,7.61285e-07,-5.88042e-07,3.69355e-08,0.00431883,0.149083,0.0670755,0.00289706,0.00905022,9.51072e-10,5.50096e-05,1.93118e-07,8.42868e-05,5.24293e-07,1.50441e-09,0,5.40894e-08,0.0096516,0.00447146,5.3515e-05,9.93467e-05,1.48185e-05,4.4744e-05
-2075,0.000204669,0.00961409,0.00459971,0.00439504,3.08797e-08,0,8.74611e-06,0.000195953,0.000195953,0.00172936,0.000481511,0.000350931,1.88478e-11,6.8549e-07,-5.03102e-07,4.19813e-08,0.00450899,0.14774,0.0670455,0.00303113,0.010455,9.31552e-10,8.15962e-05,5.23242e-07,8.13735e-05,5.56465e-07,8.6474e-10,0,6.438e-08,0.00956164,0.00446939,5.51253e-05,0.000123751,1.13948e-05,3.1229e-05
