Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,transp,evap,interc,wd,CH4 emiss.,CH4 sink,CH4 fire,CH4 rice,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3,ProductN,estab_storageC,estab_storageN
(AD),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(m2),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 gC/yr),(2.67018e+09 dm3/yr),(2.67018e+09 dm3/yr),(2.67018e+09 dm3/yr),(2.67018e+09 dm3/yr),(2.67018e+09 gCH4/yr),(2.67018e+09 gCH4/yr),(2.67018e+09 gCH4/yr),(2.67018e+09 gCH4/yr),(2.67018e+09 dm3/yr),(2.67018e+09 gCH4),(2.67018e+09 gC),(2.67018e+09 gC),(2.67018e+09 gC),(2.67018e+09 gC),(2.67018e+09 gC),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN/yr),(2.67018e+09 gN),(2.67018e+09 gN),(2.67018e+09 gN),(2.67018e+09 gN),(2.67018e+09 gN),(2.67018e+09 gN),(2.67018e+09 gN),(2.67018e+09 gC),(2.67018e+09 gN)
1511,21.2936,2029.96,566.598,545.305,0.00741697,0,11.1109,2.67018e+06,0.0276159,0,10.1607,584.847,55.3409,97.1648,0,0.00365464,-0.00125079,0.0533295,0,1368.17,11774.8,4371.75,2701.66,14232.8,0.00114642,0,5.74702,2.7633,0.825392,1.60556,0.0002383,0,0.031331,0.000551294,0,309.21,207.468,11.7126,81.8336,0.0483114,0.0306744,0,240,24
1512,33.0414,2115.7,585.953,552.911,0.00138058,0,11.1142,2.67018e+06,0.185768,0,21.7412,610.524,42.3693,63.3753,0,0.00318294,-0.000997017,0.0533361,0,807.438,11801.5,4370.07,2703.83,14225.6,0.00112983,0,6.21611,3.09375,0.55867,1.63768,3.98654e-05,0,0.0313436,0.00303681,0,310.279,207.437,12.2784,81.2346,0.0519009,0.0357708,0,240,24
1513,0.264444,2045.34,562.916,562.652,0.00150789,0,11.0862,2.67018e+06,0.252126,0,-11.0738,578.448,44.7235,86.3245,0,0.00291523,-0.000983727,0.0532034,0,1392.52,11826.1,4370.97,2677.63,14216.1,0.000762028,0,6.25928,2.89978,1.00341,1.72373,4.34085e-05,0,0.0311974,0.00394563,0,311.127,207.541,12.2444,81.1044,0.0574799,0.0312002,0,240,24
1514,11.5452,2074.51,566.894,555.349,0.00174032,0,14.0356,5.34036e+06,0.309385,0.653293,-3.45325,591.421,41.4456,82.0007,0,0.00371487,-0.00125246,0.0530779,0,1037,11845.7,4370.8,2662.87,14199.1,0.000675092,8.77101,6.25144,3.17107,1.04207,2.49227,5.08735e-05,0,0.0366658,0.00469802,0.00210501,312.125,207.593,12.5178,81.1994,0.0532008,0.0475406,0.0282616,240,24
1515,0.803626,2063.38,580.67,579.866,0.00159724,0,11.0184,5.34036e+06,0.540313,0.525098,-11.2798,570.749,44.1727,84.4815,0,0.00221059,-0.000680485,0.0528832,0,1107.72,11874.3,4373.71,2622.3,14200.3,0.00111447,8.24592,6.72012,2.83989,0.989494,1.61895,4.68302e-05,0,0.0311675,0.0087305,0.00169195,312.97,207.807,12.1619,81.3058,0.0627514,0.0325856,0.0265696,240,24
1516,-4.77678,2086.8,574.73,579.507,0.00165473,0,10.9913,5.34036e+06,0.531242,0.422536,-16.7231,606.69,47.0191,72.2386,0,0.00590498,-0.00203422,0.0527547,0,1002.06,11895.9,4376.57,2586.46,14198.2,0.00605571,7.82338,6.59931,2.83753,1.04405,1.42237,4.85813e-05,0,0.0310261,0.00827137,0.00136148,313.589,208.018,11.8875,81.2997,0.0630954,0.0324554,0.0252082,240,24
1517,-20.9118,2007.55,542.378,563.29,0.00181547,0,10.9665,5.34036e+06,0.506953,0.340482,-32.729,587.285,42.8458,66.7338,0,0.0103071,-0.0036814,0.0526371,0,975.5,11907.4,4379.14,2552.64,14188.2,0.00103427,7.4829,6.2654,2.6779,1.18467,0.807141,5.3449e-05,0,0.0307049,0.00751361,0.00109709,314.031,208.214,11.7396,80.5885,0.0638977,0.0330906,0.0241111,240,24
1518,54.6453,2134.73,618.809,564.164,0.00160231,0,10.9837,5.34036e+06,0.483443,0.274834,42.9041,598.284,42.1516,76.1851,0,0.0016561,-0.000520144,0.0527213,0,1036.94,11918,4374.86,2571.73,14201.7,0.0010732,7.20806,6.58922,3.50036,0.859385,3.00774,4.73691e-05,0,0.0312525,0.00674298,0.000885559,314.456,208.036,11.8011,82.2142,0.0577934,0.0375951,0.0232255,240,24
1519,-7.18685,2015.79,566.492,573.678,0.00179701,-0.0472674,10.9381,5.34036e+06,0.457449,0.222311,-18.762,559.652,52.0262,130.388,0,0.0129233,-0.00450241,0.0525029,0,1689.2,11948,4370.37,2605.56,14119.3,0.0035105,6.98575,6.0931,2.42784,1.26352,0.917863,5.33424e-05,0,0.0308209,0.00611459,0.00071632,315.064,207.886,11.8711,81.1461,0.0692155,0.0332493,0.0225092,240,24
1520,41.8922,2127.93,615.099,573.207,0.00166799,0,10.9438,5.34036e+06,0.44251,0.180287,30.3261,600.31,44.5123,78.1452,0,0.00255439,-0.000867566,0.0525301,0,1037,11959.3,4370.05,2616.56,14127.5,0.000212972,6.80547,6.47562,3.2305,0.963339,2.39571,4.96049e-05,0,0.0311251,0.00574571,0.000580914,315.401,207.927,11.8634,82.2096,0.060901,0.0445152,0.0219283,240,24
1521,62.2769,2154.44,640.709,578.432,0.0015011,0,10.9753,5.34036e+06,0.432616,0.146664,50.7238,610.624,37.9624,62.4592,0,1.72904e-05,-4.51853e-05,0.0526817,0,775.572,11967.5,4372.78,2645.91,14140.8,0.000199213,6.6588,6.58174,2.744,0.869971,1.09833,4.50932e-05,0,0.0310356,0.00553357,0.000472573,315.634,208.129,11.9268,82.0834,0.0465585,0.0806388,0.0214557,240,24
1522,40.3016,2103.97,614.275,573.973,0.00167012,0,13.9665,8.01055e+06,0.478002,0.773108,25.0844,595.382,48.2702,99.2951,0,0.00244935,-0.000733757,0.0527527,0,1368.45,11991.3,4375.57,2652.94,14126.5,0.00152228,15.3108,6.14319,2.92274,1.18789,1.78363,5.0702e-05,0,0.0365432,0.00627562,0.0024937,316.466,208.33,12.309,81.4307,0.0567869,0.0312747,0.0493691,240,24
1523,8.31921,2110.83,585.288,576.969,0.00159996,0,10.99,8.01055e+06,0.788219,0.623374,-4.083,619.028,39.3275,67.6849,0,0.00461356,-0.00160113,0.0527518,0,807.382,12002.1,4373.49,2639.5,14125.6,0.000679269,14.6874,6.63533,2.99813,0.962069,1.56549,4.82104e-05,0,0.0312339,0.0107037,0.00201072,317.045,208.27,12.3812,81.321,0.0654284,0.0429221,0.0473583,240,24
1524,-11.2582,2085.26,566.881,578.139,0.00166251,0,10.9691,8.01055e+06,0.765182,0.503577,-23.4957,611.96,41.0779,79.7258,0,0.00238764,-0.000717204,0.0526516,0,1034,12010.4,4371.99,2610.52,14123.3,0.000424932,14.1839,6.50901,2.81049,1.18678,1.39608,5.00653e-05,0,0.0311067,0.0103645,0.0016243,317.469,208.264,12.2051,81.2436,0.069281,0.0368217,0.045734,240,24
1525,5.40777,2094.53,575.819,570.411,0.00172309,0,10.9536,8.01055e+06,0.722321,0.407729,-6.67566,611.171,39.0009,67.8701,0,0.00303378,-0.00107646,0.0525775,0,1002.2,12014.7,4374.58,2597.13,14126.1,0.000765578,13.7761,6.62498,2.86536,0.996208,1.39835,5.22904e-05,0,0.0310719,0.00955821,0.00131514,317.771,208.461,12.0772,81.4445,0.0597693,0.0330609,0.0444189,240,24
1526,14.3501,2091.34,587.123,572.773,0.00184787,0,10.9632,8.01055e+06,0.689915,0.331041,2.36671,597.237,37.5874,36.2126,0,0.00217692,-0.000791448,0.0526236,0,435.9,12018.9,4377.18,2593.07,14128.7,0.000223504,13.4451,6.4849,2.81313,1.0415,1.48744,5.65994e-05,0,0.031105,0.00889983,0.00106777,318.033,208.658,12.0348,81.6004,0.0351392,0.0880627,0.0433511,240,24
1527,55.1983,2139.27,617.255,562.057,0.00172604,0,11.0037,8.01055e+06,0.648689,0.269682,43.2781,611.862,32.2981,73.9015,0,-4.36072e-05,-9.54851e-05,0.0528178,0,1026.8,12016.7,4379.57,2632.65,14134.9,0.000427258,13.1754,7.02131,2.62202,0.433023,1.29271,5.32494e-05,0,0.0313296,0.00832117,0.00086985,318.205,208.847,12.0967,82.1627,0.0528469,0.0936331,0.0424813,240,24
1528,-65.1109,1960.68,511.061,576.172,0.00199282,0,10.9397,8.01055e+06,0.581477,0.220584,-76.8532,596.313,49.3214,73.8065,0,0.00533261,-0.00181638,0.0525105,0,1003.23,12037,4376.96,2563.51,14107.1,0.00912662,12.9548,5.83262,2.10206,1.56708,0.570577,6.0641e-05,0,0.0307794,0.00742651,0.00071148,318.574,208.766,11.6753,81.2201,0.0762434,0.0306199,0.0417698,240,24
1529,-63.7053,1903.91,489.436,553.141,0.00222948,0,10.8698,8.01055e+06,0.543919,0.181296,-75.303,573.253,54.6799,103.974,0,0.0104505,-0.00385809,0.0521749,0,1418.1,12044.3,4373.24,2519.92,14068.2,0.00127153,12.7735,5.54432,2.43711,1.58251,1.22053,6.76717e-05,0,0.0304996,0.00680192,0.000584754,318.758,208.657,11.507,80.8173,0.0613178,0.033927,0.041185,240,24
1530,33.982,2102.35,596.318,562.336,0.00221685,0,10.8762,8.01055e+06,0.614355,0.149856,22.3417,606.176,35.7826,51.748,0,0.00447144,-0.00170282,0.0522057,0,698.415,12036.3,4375.62,2508.88,14109.8,0.000170187,12.6237,6.60757,3.37302,0.692736,2.36059,6.8125e-05,0,0.0310023,0.00761923,0.000483342,318.686,208.832,11.5584,82.4509,0.0439156,0.0673497,0.0407017,240,24
1531,-8.32143,2049.87,566.488,574.809,0.00200178,0,13.8259,1.06807e+07,0.673858,0.778338,-23.6043,608.876,44.5738,82.2462,0,0.0141613,-0.00507193,0.0520713,0,1034,12049.1,4373.18,2478.4,14095.2,0.00526049,21.2747,5.74259,1.98489,1.59384,0.55488,6.08858e-05,0,0.0360548,0.00862748,0.00251119,319.352,208.776,11.6902,80.5457,0.0673798,0.0375216,0.0686147,240,24
1532,11.7549,2084.06,583.154,571.399,0.00208277,0,10.835,1.06807e+07,0.965693,0.629935,-0.676943,611.343,43.2785,70.2682,0,0.00718398,-0.00280062,0.0520081,0,1002.2,12054.5,4375.74,2471.09,14097.1,0.00486514,20.6447,6.83107,2.91123,0.76897,1.49362,6.36565e-05,0,0.0307652,0.0127255,0.00203238,319.783,208.97,11.6099,80.8942,0.0540141,0.0331945,0.0665824,240,24
1533,72.3264,2149.02,636.756,564.429,0.00198265,0,10.8849,1.06807e+07,0.953414,0.511198,59.9765,625.252,43.9443,72.4886,0,0.00490546,-0.00175276,0.0522475,0,1026.73,12060.6,4378.19,2515.79,14106.8,0.00102601,20.1335,6.46228,3.07616,1.08832,2.12908,6.12622e-05,0,0.030999,0.0123324,0.00164928,320.086,209.154,11.6909,81.5057,0.0561321,0.0322741,0.0649331,240,24
1534,-27.7746,2047.2,553.002,580.776,0.00224161,0,10.8506,1.06807e+07,0.874249,0.416194,-39.9164,616.701,47.5665,71.58,0,0.00614962,-0.00215219,0.0520827,0,1002.2,12076.5,4375.2,2472.85,14094.4,0.000853168,19.7174,6.42888,2.49559,1.10149,0.831004,6.89174e-05,0,0.0307183,0.0114151,0.00134276,320.416,209.058,11.3926,81.1455,0.0709193,0.033567,0.0635903,240,24
1535,-53.7269,1915.61,498.205,551.931,0.00257795,-0.0867552,10.8057,1.06807e+07,0.807615,0.340176,-65.593,575.621,39.1989,51.965,0,0.00416933,-0.00148187,0.0518675,0,732.304,12068,4377.43,2470.22,14040.2,0.00014592,19.3772,5.82314,2.25603,1.46526,0.797516,7.94529e-05,0,0.0304048,0.0105388,0.0010975,320.441,209.241,11.4956,80.2789,0.0467169,0.0882141,0.0624928,240,24
1536,41.6752,2040.11,593.821,552.146,0.00239641,0,10.835,1.06807e+07,0.778996,0.279347,29.7832,564.105,38.8171,83.6084,0,0.00224941,-0.000765588,0.0520078,0,1253.4,12061.8,4379.65,2475.73,14071,0.00171875,19.0978,6.26788,3.24018,1.12103,2.62506,7.44939e-05,0,0.0309033,0.0100735,0.000901239,320.476,209.411,11.4319,81.8197,0.0548208,0.0310147,0.0615916,240,24
1537,6.04013,2014.97,580.403,574.363,0.00247971,0,10.8142,1.06807e+07,0.757809,0.23067,-5.76316,568.043,54.25,118.821,0,0.00589423,-0.00176631,0.0519081,0,1689.12,12083.2,4372.93,2448.88,14070.9,0.000961061,18.8672,5.97509,2.20164,1.31356,0.749246,7.73114e-05,0,0.0305296,0.00967778,0.000744186,320.8,209.135,11.1503,81.1596,0.0671987,0.031531,0.0608474,240,24
1538,-8.78606,2063.76,569.171,577.957,0.00248415,-1.87039e-16,10.7822,1.06807e+07,0.765542,0.191714,-20.5242,616.146,45.5789,73.753,0,0.00222119,-0.000678825,0.0517546,0,965.5,12087,4375.64,2424.66,14070.9,0.000686262,18.6754,6.03966,2.55436,1.3256,1.06329,7.75728e-05,0,0.0303504,0.00952939,0.000618497,320.798,209.337,10.9136,81.101,0.0599434,0.0337251,0.0602289,240,24
1539,100.788,2176.12,652.695,551.907,0.00220268,0,10.8496,1.06807e+07,0.757014,0.160534,89.0207,649.561,40.1804,77.2933,0,0.00418656,-0.00142188,0.0520781,0,1259.5,12082.3,4374.17,2500.87,14088.7,0.000767621,18.5149,6.06591,3.13679,1.05932,2.17767,6.92565e-05,0,0.0307332,0.0092593,0.000517899,320.724,209.312,11.2429,81.9396,0.0484834,0.0304934,0.059711,240,24
1540,92.8764,2195.77,667.9,575.024,0.0063637,0,13.8691,1.33509e+07,0.819883,0.787876,77.4056,642.534,41.905,61.7812,0,0.000683649,-0.000239834,0.0523079,0,847.444,12088.7,4376.77,2475.17,14176.8,0.000168878,27.137,6.38425,3.15567,0.879306,1.77466,0.000211362,-0.00668825,0.0364275,0.0102263,0.00254657,321.113,209.503,11.4904,82.1122,0.046608,0.0481791,0.0875914,240,24
1541,41.7249,2101.91,604.558,562.834,0.00482392,0,10.9011,1.33509e+07,1.11332,0.639895,29.0745,592.725,42.4649,89.1904,0,0.00180423,-0.000550887,0.0523252,0,1211.5,12096.9,4379.23,2537.09,14136.4,0.00182818,26.4971,6.49253,2.81781,0.909806,1.38612,0.000157046,-0.00542298,0.0311014,0.0143673,0.00206822,321.611,209.685,12.0143,81.5324,0.0579847,0.0309531,0.0855232,240,24
1542,15.7665,2167.41,600.018,584.252,0.0105612,0,10.904,1.33509e+07,1.12213,0.521491,3.22825,616.82,41.8408,86.9677,0,0.00199369,-0.00049928,0.0523394,0,1116.4,12110.9,4375.21,2531.34,14131.8,0.000279975,25.9756,6.7418,3.25399,0.954175,1.83248,0.000348289,-0.00355939,0.0311423,0.0140797,0.00168548,322.057,209.536,11.8558,82.0728,0.055069,0.0431353,0.0838377,240,24
1543,79.0893,2201.83,657.567,578.478,0.00233412,0,10.9395,1.33509e+07,1.07216,0.426749,66.653,641.766,42.4145,62.6898,0,0.000628098,-0.000233818,0.0525094,0,847.989,12116.7,4377.87,2606.71,14117.7,0.000159807,25.5489,6.70962,3.28372,0.989451,2.12727,7.40208e-05,-0.00512399,0.031367,0.0133207,0.00137922,322.336,209.731,12.0943,82.6571,0.0470377,0.0476588,0.0824585,240,24
1544,16.0654,2081.77,590.576,574.511,0.00239977,0,10.9432,1.33509e+07,0.937549,0.350936,3.83473,598.595,47.0423,96.2839,0,0.00259742,-0.000851836,0.0525275,0,1368.6,12132.3,4380.58,2611.42,14101.7,0.00425724,25.1979,6.45464,2.6963,1.09547,1.37696,7.60274e-05,0,0.0312743,0.0117889,0.00113415,322.767,209.929,12.1774,82.3892,0.0575676,0.0289106,0.0813243,240,24
1545,-0.0392526,2059.17,557.364,557.403,0.00282973,0,17.154,1.33509e+07,0.989685,0.290266,-18.474,590.63,30.5101,36.5533,0,0.00741263,-0.00265015,0.0823392,0,435.804,12122,4382.88,2611.44,14093.8,0.000221765,24.9077,6.56822,2.53986,0.923304,0.987384,8.93677e-05,0,0.0489146,0.0123052,0.000938036,322.834,210.111,12.1976,82.2617,0.0329722,0.0970323,0.0803863,240,24
1546,2.45191,2103.31,576.429,573.977,0.00260399,0,10.9631,1.33509e+07,0.942686,0.241712,-9.69286,582.772,28.2867,58.0152,0,-5.23539e-05,-0.000107787,0.0526229,0,807.002,12119.3,4385.43,2608.38,14090.1,0.000189058,24.666,7.26837,2.37046,0.313981,0.441183,8.21176e-05,0,0.0312069,0.0117034,0.000781083,323.002,210.311,12.0427,82.2641,0.0440467,0.155454,0.0796052,240,24
1547,-101.595,1928.74,448.038,549.633,0.393684,0,50.2084,1.33509e+07,0.935893,0.202849,-152.549,488.194,24.5422,35.6398,0,-6.38161e-05,-0.000126074,0.241,0,435.472,12107.1,4387.6,2567.19,13991.1,0.000250548,24.4631,6.27036,1.56762,0.556004,0.275834,0.0130894,-9.3909e-06,0.142546,0.0114559,0.000655459,322.874,210.497,11.85,81.5579,0.0650876,0.739389,0.0789497,240,24
1548,-12.4429,1876.15,530.609,543.052,0.00743219,0,10.861,1.33509e+07,0.887973,0.17174,-24.3563,461.655,52.8828,64.3011,0,0.000387391,-0.000243697,0.0521329,0,1003.07,12089,4389.6,2539.59,14012.6,0.000479328,24.2914,7.40153,2.21221,0.596506,0.378012,0.000219384,-0.000157592,0.0308576,0.0107548,0.000554898,322.82,210.665,11.6306,82.2829,0.0596839,0.0337298,0.0783948,240,24
1549,37.9568,1988.31,596.826,558.869,0.00616223,0,13.828,1.60211e+07,0.994568,0.798302,22.3352,532.997,49.9537,43.9109,0,0.014169,-0.00498333,0.052129,0,598.631,12089.3,4391.89,2533.77,14031.9,0.000818432,32.8911,6.34905,3.12831,1.01366,1.40173,0.000182566,-0.00268098,0.0363755,0.0124487,0.00258128,323.314,210.836,11.8633,81.8613,0.0509173,0.0487419,0.106207,240,24
1550,-17.5957,1881.18,538.071,555.667,0.00566455,0,10.8257,1.60211e+07,1.19014,0.650521,-30.2659,518.176,59.196,79.9474,0,0.0199284,-0.00737387,0.0519636,0,1418.1,12097.2,4394.16,2500.82,14027.4,0.00362411,32.2405,6.33964,2.11617,1.19397,0.548875,0.000169941,0,0.0306444,0.0153899,0.00210337,323.856,211.014,11.8412,80.6376,0.076942,0.0355697,0.104104,240,24
1551,68.0846,2056.21,621.184,553.1,0.00425916,0,10.8452,1.60211e+07,1.2124,0.532272,55.497,566.802,45.5116,51.5228,0,0.00426674,-0.00154912,0.0520569,0,1002.2,12100.4,4396.33,2529.12,14051.9,0.00125487,31.7083,6.80172,2.91464,0.89187,1.85253,0.000129377,0,0.0309056,0.0156215,0.00172098,324.1,211.182,11.9456,81.223,0.0600148,0.033015,0.102383,240,24
1552,-140.046,1730.76,410.05,550.096,0.0048358,0,10.7195,1.60211e+07,1.1907,0.437649,-152.398,574.249,48.5853,61.1114,0,0.0176282,-0.00650987,0.0514536,0,1002.55,12102.7,4391.3,2499.45,13927.3,0.0035922,31.2706,4.81831,0.693826,2.4835,0.196982,0.000147956,0,0.0300582,0.0150178,0.00141498,324.354,210.963,11.8603,78.5786,0.18789,0.0497263,0.100968,240,24
1553,130.919,2068.29,675.585,544.666,0.00344652,0,10.8026,1.60211e+07,1.10949,0.361928,118.648,604.856,38.1116,36.4785,0,0.00180104,-0.000648652,0.0518524,0,625.5,12075.6,4393.3,2503.72,14069.2,0.000171895,30.9087,6.25191,2.08873,1.38468,0.747591,0.000107636,0,0.0299432,0.0141482,0.00117011,324.05,211.127,11.5647,78.6254,0.038242,0.0707211,0.0997978,240,24
1554,73.6964,2014.93,642.365,568.669,0.00915747,0,10.8248,1.60211e+07,1.09244,0.301326,61.4857,592.832,47.3249,66.5411,0,0.00263063,-0.000956184,0.051959,0,1003.3,12068.1,4395.83,2575.98,14066.2,0.00444904,30.6074,6.08914,2.15671,1.34991,0.91172,0.000300575,0,0.0296831,0.0137293,0.000974133,323.879,211.317,11.4946,78.4025,0.0620862,0.0298509,0.0988237,240,24
1555,93.1699,2109.33,660.811,567.641,0.0127508,0,10.8781,1.60211e+07,1.07958,0.252822,80.9695,624.588,43.1442,58.1835,0,0.00564546,-0.00197576,0.0522147,0,807.401,12065.9,4391.7,2603.9,14121.7,0.00129258,30.3545,6.47408,2.87939,0.807383,1.59907,0.000424584,-0.00368023,0.0299322,0.0133992,0.000817277,323.688,211.151,11.3867,79.4553,0.055879,0.0352459,0.0980064,240,24
1556,25.3543,2057.73,600.071,574.717,0.0167619,-0.0409117,10.8681,1.60211e+07,1.05989,0.213995,13.2691,622.016,44.486,68.7731,0,0.00175872,-0.000562927,0.0521668,0,965.5,12070.5,4392.77,2601.99,14132.5,0.00165685,30.1405,6.17278,2.47319,1.011,0.994154,0.00055873,-0.00338995,0.0298524,0.0131174,0.000691716,323.522,211.262,11.306,79.6548,0.0503724,0.0317921,0.0973147,240,24
1557,22.7713,2053.53,591.012,568.24,0.0203841,0,10.8678,1.60211e+07,1.01993,0.18291,10.7205,621.857,42.7657,70.3617,0,0.000947742,-0.000234718,0.0521655,0,965.5,12074.7,4391.4,2686.83,14054.4,0.00142291,29.9576,6.02365,2.65826,1.04727,1.30069,0.000676233,-0.00295034,0.02992,0.0126751,0.000591192,323.42,211.251,11.5985,79.6714,0.057182,0.0326637,0.0967235,240,24
1558,35.4201,2017.47,596.755,561.335,0.0230208,-0.0414228,13.915,1.86913e+07,1.08029,0.823347,19.6627,588.823,49.6287,98.1512,0,0.00647852,-0.00224895,0.0522437,0,1392.6,12082.3,4389.64,2722.78,14021.7,0.000991539,38.7322,5.82365,2.71723,1.15972,1.61775,0.000763343,-0.00260605,0.035514,0.0134581,0.00261855,323.812,211.222,12.2513,79.0039,0.0621657,0.0315206,0.124512,240,24
1559,-26.9682,1937.41,542.929,569.898,0.0245143,0,10.8505,1.86913e+07,1.32005,0.672853,-39.7902,578.695,47.9426,108.599,0,0.00633004,-0.00223168,0.0520823,0,1689.2,12096.5,4386.55,2698.75,13992.5,0.00129521,38.0594,6.12685,2.48931,1.20324,1.42518,0.00081278,-0.00233605,0.0300103,0.0170219,0.00214045,324.259,211.134,12.2378,78.7434,0.0648541,0.0338038,0.122372,240,24
1560,48.9458,2033.96,610.891,561.945,0.0260345,0,10.8731,1.86913e+07,1.31858,0.55243,36.2265,584.33,39.7827,75.1366,0,0.00257682,-0.000885257,0.0521911,0,1253.32,12099.8,4389.01,2735.08,13989.6,0.00109686,37.5069,6.58195,3.19249,0.877527,2.70471,0.000863862,-0.00287104,0.0305025,0.0168451,0.00175789,324.457,211.314,12.3574,80.224,0.0520629,0.0323816,0.120614,240,24
1561,26.2147,2083.83,607.045,580.83,0.0269823,0,10.8983,1.86913e+07,1.30324,0.456063,13.5832,621.972,44.3523,71.2705,0,0.00148437,-0.000383825,0.0523121,0,1002.11,12108.6,4391.74,2754.38,13975.5,0.00106761,37.0509,6.49477,2.46448,1.0796,0.914936,0.000895511,-0.00302089,0.0303459,0.0163781,0.00145174,324.625,211.518,12.2855,79.9126,0.0596827,0.0326605,0.119162,240,24
1562,9.05265,2080.2,599.716,590.664,0.0279282,0,10.9024,1.86913e+07,1.27792,0.378941,-3.48126,620.134,47.2441,76.0087,0,0.00536069,-0.00193919,0.0523315,0,1002.1,12124.6,4390.8,2732.77,13978.1,0.000842342,36.6719,6.54417,2.62039,1.01775,1.11855,0.00092744,-0.00296573,0.0302645,0.015924,0.00120674,324.805,211.511,12.0136,80.0677,0.0563003,0.0317037,0.117956,240,24
1563,30.973,2050.26,599.492,568.519,0.0284841,0,10.9284,1.86913e+07,1.19822,0.317215,18.556,599.472,46.0335,78.2555,0,0.00321905,-0.00107688,0.0524565,0,1211.44,12131.3,4389.43,2741.89,13981.2,0.00561436,36.3547,6.24862,2.86311,1.07948,1.75579,0.000945899,-0.00281364,0.0304767,0.0147856,0.00101064,324.86,211.497,12.081,80.5851,0.053702,0.0287663,0.116945,240,24
1564,-51.808,2019.24,542.441,594.249,0.0308301,0,10.8787,1.86913e+07,1.26747,0.267807,-64.1992,624.615,48.7706,69.7141,0,0.01696,-0.00615316,0.0522176,0,965.5,12149.9,4387.72,2664.72,13975.7,0.00230437,36.0869,5.9321,2.33959,1.50354,0.912287,0.00102297,-0.00268175,0.0301401,0.0154025,0.000853673,324.998,211.482,11.6361,80.247,0.0627225,0.0316625,0.116091,240,24
