Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,NBP_nat,transp,evap,interc,wd,discharge,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,CH4 rice,CH4 grass,CH4 agr,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1481,-0.00160385,0.004264,0.00174039,0.00334424,3.54181e-05,0,1.60387e-07,1.99347e+09,2.94372e-05,0,-0.00159803,-5.70139e-05,0.00117458,0.00105533,0.000321551,0,0.00274517,1.21174e-09,2.2438e-07,-1.82822e-07,1.71079e-09,0,1.72684e-11,5.81084e-10,0.00519326,0.0772876,0.0322993,0.0133824,0.0233455,8.74977e-10,0,2.1053e-05,3.95771e-06,1.86455e-06,2.58555e-06,1.23939e-06,0,2.45285e-10,1.30216e-06,0,0.00374136,0.00164658,5.04247e-05,8.04421e-05,1.62635e-06,4.02201e-07,0,0.0010939,0.00010939
1482,-0.00128555,0.00455889,0.00179487,0.00308042,3.53633e-05,0,3.47082e-05,1.99347e+09,0.000179224,0,-0.00146412,-0.000140037,0.00125172,0.000686516,0.000249627,0,0.00195278,1.47597e-09,3.65828e-07,-2.8946e-07,3.70221e-07,0,6.77293e-11,9.74703e-10,0.00431883,0.0766526,0.0323013,0.012872,0.0230323,8.44386e-10,0,2.31456e-05,4.44686e-06,2.08328e-06,2.52917e-06,1.23749e-06,0,5.13393e-08,3.98521e-06,0,0.00374551,0.0016468,4.28905e-05,7.9755e-05,2.40088e-06,1.27508e-06,0,0.0010939,0.00010939
1483,-0.000956645,0.00468012,0.00192685,0.00288349,3.53507e-05,0,6.87322e-08,1.99347e+09,0.000238164,0,-0.00115953,-0.000102634,0.00135165,0.000731775,0.000263082,0,0.00217346,1.73328e-09,2.81717e-07,-2.17703e-07,7.33144e-10,0,1.74483e-10,1.15424e-09,0.00412989,0.0760531,0.0323001,0.0125229,0.0228268,9.5521e-10,0,2.50708e-05,5.15515e-06,2.96798e-06,3.04225e-06,1.23707e-06,0,1.05518e-10,5.30998e-06,0,0.00374293,0.00164685,3.91494e-05,8.00518e-05,2.34289e-06,3.56785e-06,0,0.0010939,0.00010939
1484,-0.00062015,0.00501896,0.00215801,0.00277816,3.53462e-05,0,1.55896e-06,1.99347e+09,0.000340315,0,-0.000926678,-4.5705e-06,0.00144694,0.000607392,0.000305787,0,0.0014493,2.16031e-09,3.15586e-07,-2.49078e-07,1.66289e-08,0,5.88528e-10,9.96862e-10,0.00404666,0.0754041,0.0322959,0.0121572,0.0229204,8.64001e-10,0,2.88789e-05,5.23729e-06,3.98231e-06,2.28834e-06,1.23692e-06,0,2.31136e-09,6.7068e-06,0,0.00373284,0.00164673,3.74152e-05,8.13278e-05,2.35718e-06,6.95934e-06,0,0.0010939,0.00010939
1485,-0.000363427,0.00543652,0.00239435,0.00275778,3.53411e-05,0,1.04643e-05,1.99347e+09,0.000387946,0,-0.000726497,7.42902e-05,0.00155666,0.00072356,0.000369883,0,0.00215784,2.54817e-09,2.47819e-07,-1.98384e-07,1.11619e-07,0,6.62582e-10,1.18175e-09,0.00512954,0.0747951,0.0322904,0.0117237,0.0232418,7.91721e-10,0,3.12092e-05,5.60667e-06,8.54924e-06,2.69039e-06,1.23676e-06,0,1.62158e-08,8.15165e-06,0,0.00371987,0.00164653,3.56901e-05,8.4239e-05,2.2745e-06,6.78605e-06,0,0.0010939,0.00010939
1486,-0.000302786,0.00537834,0.00230703,0.00260982,3.53407e-05,0,1.55636e-06,1.99347e+09,0.000411619,0,-0.000680621,0.000103872,0.00150321,0.000577992,0.000324154,0,0.00190375,2.7369e-09,3.44751e-07,-2.60194e-07,1.66011e-08,0,1.08134e-09,1.15127e-09,0.00404666,0.0742357,0.0322834,0.011454,0.0233958,8.63152e-10,0,2.89854e-05,4.93791e-06,8.21114e-06,2.15162e-06,1.23674e-06,0,2.32237e-09,8.25104e-06,0,0.00370446,0.00164625,3.52233e-05,8.26636e-05,2.8157e-06,9.89389e-06,0,0.0010939,0.00010939
1487,-0.000215547,0.00553032,0.00241948,0.00263502,3.53388e-05,0,5.2319e-06,1.99347e+09,0.000462093,0,-0.000647534,6.70582e-05,0.00169311,0.000605089,0.000295226,0,0.00110413,4.46003e-09,3.30874e-07,-2.56119e-07,5.58069e-08,0,1.16754e-09,3.0354e-09,0.00375441,0.0737273,0.0322761,0.0111203,0.0235958,8.87358e-10,0,3.1195e-05,5.54916e-06,5.60224e-06,3.06166e-06,1.23669e-06,0,7.82493e-09,9.80843e-06,0,0.00368824,0.00164593,3.41909e-05,8.27888e-05,2.89108e-06,1.52952e-05,0,0.0010939,0.00010939
1488,-9.71741e-05,0.00551389,0.00246222,0.00255939,3.53379e-05,0,4.50607e-08,1.99347e+09,0.000471908,0,-0.000533789,9.64361e-05,0.00169168,0.000670682,0.000344287,0,0.00145749,2.65203e-09,2.60975e-07,-1.99088e-07,4.80648e-10,0,7.31292e-10,1.59761e-09,0.0041004,0.0732698,0.0322682,0.0108687,0.0237766,9.33631e-10,0,3.13981e-05,5.64592e-06,7.05167e-06,2.98204e-06,1.23666e-06,0,7.92423e-11,9.87201e-06,0,0.00367179,0.00164559,3.38212e-05,8.35764e-05,2.68175e-06,1.93062e-05,0,0.0010939,0.00010939
1489,-0.000107471,0.00559829,0.00244722,0.0025547,3.5337e-05,0,3.79463e-06,1.99347e+09,0.00048527,0,-0.000561199,8.14731e-05,0.0017053,0.000601243,0.000302986,0,0.00104071,5.15069e-09,3.34137e-07,-2.59914e-07,4.04761e-08,0,1.50585e-09,3.37694e-09,0.00375441,0.0728187,0.0322599,0.0106133,0.0239274,8.87505e-10,0,3.21405e-05,5.55756e-06,7.90799e-06,3.04844e-06,1.23663e-06,0,5.71331e-09,1.02914e-05,0,0.0036539,0.00164521,3.33141e-05,8.38447e-05,2.83315e-06,2.28948e-05,0,0.0010939,0.00010939
