Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,NBP_nat,transp,evap,interc,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
-2099,-0.00505119,0,0,0.00505119,2.86626e-06,0,0,-0.00504833,-0.00504833,0,0.00244279,0,0,6.92635e-07,-5.22966e-07,0,0.00476041,0.199002,0.0679541,0,2.86626e-06,9.38341e-10,0,0,0.000203976,5.06315e-07,9.4055e-08,0,0,0.0132668,0.00453028,0,9.4055e-08,2.6441e-05,0.000197499
-2098,-0.00470432,2.33327e-05,1.20308e-05,0.00471635,2.82486e-06,0,0,-0.00470149,-0.00470149,1.85294e-08,0.00265073,2.73599e-08,4.09883e-11,7.14886e-07,-5.55626e-07,0,0.00519326,0.194288,0.0678927,1.18897e-06,1.47958e-05,9.68427e-10,2.3979e-07,1.73998e-11,0.000297008,5.06315e-07,9.26756e-08,0,0,0.0129525,0.00452618,2.28468e-08,3.74556e-07,2.48556e-05,0.000216725
-2097,-0.0044937,0.000140064,7.54981e-05,0.0045692,2.58484e-06,0,0,-0.00449111,-0.00449111,7.98488e-07,0.00241184,8.8461e-08,4.48235e-11,7.81388e-07,-6.06096e-07,0,0.00407644,0.189728,0.0678311,9.1155e-06,7.60801e-05,9.9998e-10,1.60167e-06,2.14784e-12,0.000244995,5.06315e-07,8.4676e-08,0,0,0.0126481,0.00452208,1.74616e-07,1.79645e-06,2.37482e-05,0.000276217
-2096,-0.0040315,0.000811146,0.000437693,0.00446919,1.50411e-06,0,1.15505e-17,-0.00402999,-0.00402999,3.16307e-05,0.002175,8.57288e-07,2.43949e-10,7.17811e-07,-5.49326e-07,1.23206e-19,0.00404666,0.1853,0.0677689,6.12436e-05,0.000422462,9.57233e-10,9.55079e-06,3.44074e-13,0.000291346,5.06315e-07,4.86544e-08,0,9.8397e-20,0.0123513,0.00451793,1.1926e-06,9.89334e-06,2.29884e-05,0.000273902
-2095,-0.00227183,0.00368138,0.00195084,0.00422267,3.41889e-07,0,1.95452e-13,-0.00227149,-0.00227149,0.000535792,0.0014663,2.47338e-05,1.99204e-09,7.09976e-07,-5.49086e-07,2.08482e-15,0.00481767,0.181274,0.0677089,0.000336953,0.00190145,9.73946e-10,4.21008e-05,5.28421e-12,0.000325773,5.06315e-07,9.91833e-09,0,1.85791e-15,0.0120754,0.00451393,6.41536e-06,4.44262e-05,2.25439e-05,0.000185174
-2094,-0.00116536,0.00600774,0.00304091,0.00420627,2.75999e-07,0,7.73475e-11,-0.00116508,-0.00116508,0.00114444,0.000729866,0.000225312,2.04274e-09,9.22149e-07,-6.65327e-07,8.2504e-13,0.00548821,0.178313,0.0676523,0.00124326,0.00279129,9.81499e-10,5.64848e-05,7.63961e-12,0.00028714,5.06315e-07,7.72896e-09,0,7.85701e-13,0.0118327,0.00451015,2.30575e-05,6.54814e-05,2.20499e-05,0.000104073
-2093,-0.00117424,0.00710153,0.00350771,0.00468195,2.73767e-07,0,4.48719e-10,-0.00117397,-0.00117397,0.00135283,0.000595427,0.000282644,5.08947e-09,9.7746e-07,-6.63802e-07,4.78634e-12,0.00442047,0.176335,0.0676007,0.00227134,0.00256858,1.00345e-09,6.03491e-05,5.2603e-13,0.000180747,5.06315e-07,7.66644e-09,0,4.78256e-12,0.0116246,0.00450671,4.39125e-05,6.03167e-05,2.13499e-05,0.000116966
-2092,-0.00176819,0.00666653,0.00328768,0.00505587,2.70449e-07,0,7.09831e-10,-0.00176792,-0.00176792,0.00118357,0.000706191,0.000210267,1.98515e-09,9.75179e-07,-6.69908e-07,7.57153e-12,0.00389423,0.174623,0.0675595,0.00253027,0.00225389,9.7274e-10,5.63798e-05,7.56219e-10,0.000160333,5.06315e-07,7.57353e-09,0,8.19907e-12,0.0114533,0.00450397,5.02409e-05,5.26517e-05,2.14686e-05,0.000129677
-2091,-0.00175816,0.00672493,0.00336827,0.00512643,2.65913e-07,0,8.32169e-10,-0.0017579,-0.0017579,0.00118756,0.000708483,0.000180548,1.50663e-09,9.58553e-07,-6.57418e-07,8.87647e-12,0.00389423,0.172962,0.0675225,0.00263433,0.00205344,9.42268e-10,6.02522e-05,3.75527e-09,0.000168208,5.06315e-07,7.44651e-09,0,9.7724e-12,0.0112991,0.0045015,5.38845e-05,4.70554e-05,2.09444e-05,0.000118642
-2090,-0.00165857,0.00715472,0.0035886,0.00524718,2.59893e-07,0,2.5036e-09,-0.00165832,-0.00165832,0.00132307,0.000693124,0.000190782,9.25102e-10,8.91527e-07,-6.08236e-07,2.67051e-11,0.00451079,0.171322,0.0674874,0.00274748,0.00192211,9.48162e-10,6.66656e-05,9.75688e-09,0.000181167,5.06315e-07,7.27793e-09,0,2.98974e-11,0.0111547,0.00449916,5.79453e-05,4.24208e-05,1.98253e-05,8.40155e-05
-2089,-0.00173198,0.00665518,0.00333723,0.00506921,2.52409e-07,0,2.24774e-09,-0.00173173,-0.00173173,0.00114642,0.000610684,0.000128378,4.24029e-09,9.78282e-07,-7.091e-07,2.39759e-11,0.0037437,0.169539,0.0674545,0.00284302,0.00187833,9.386e-10,6.2655e-05,4.35995e-09,0.000139119,5.06315e-07,7.06833e-09,0,2.71751e-11,0.0110177,0.00449696,6.05302e-05,3.99853e-05,2.03035e-05,8.17824e-05
-2088,-0.00154531,0.00705511,0.00356656,0.00511187,2.43563e-07,0,1.15604e-09,-0.00154507,-0.00154507,0.00130279,0.000680316,0.000146541,7.90673e-10,8.97806e-07,-6.41346e-07,1.23311e-11,0.00412989,0.167896,0.0674238,0.00290718,0.00191286,9.73672e-10,6.98319e-05,5.28768e-09,0.000129754,5.06315e-07,6.82061e-09,0,1.39736e-11,0.0108929,0.00449491,6.32013e-05,3.92424e-05,1.76062e-05,7.81396e-05
-2087,-0.00134931,0.00753114,0.00393639,0.0052857,2.33452e-07,0,3.3334e-09,-0.00134908,-0.00134908,0.00138185,0.000739287,0.000192685,5.63958e-10,8.2161e-07,-5.75988e-07,3.55562e-11,0.00512954,0.166249,0.0673924,0.00306048,0.00205816,9.12501e-10,7.88852e-05,2.10641e-08,0.000147178,5.06315e-07,6.53748e-09,0,4.08825e-11,0.0107698,0.00449281,6.82057e-05,3.96033e-05,1.88054e-05,4.80499e-05
-2086,-0.00171076,0.00700582,0.00354144,0.00525219,2.22419e-07,0,6.88592e-09,-0.00171054,-0.00171054,0.00118763,0.000642385,0.000146301,1.17145e-09,8.79929e-07,-6.48026e-07,7.34498e-11,0.00459778,0.164442,0.0673631,0.0029378,0.00227749,9.3459e-10,6.97905e-05,8.37691e-08,0.000110844,5.06315e-07,6.22852e-09,0,8.59242e-11,0.0106502,0.00449084,6.54315e-05,4.17336e-05,1.73979e-05,5.93373e-05
-2085,-0.00115522,0.00777994,0.00404288,0.0051981,2.09464e-07,0,4.57294e-09,-0.00115502,-0.00115502,0.00140838,0.000721529,0.000193853,4.42045e-10,7.92055e-07,-5.63157e-07,4.8778e-11,0.00512954,0.162801,0.0673323,0.00311615,0.00258533,9.06522e-10,8.0484e-05,7.34733e-08,0.000128304,5.06315e-07,5.86574e-09,0,5.66583e-11,0.0105343,0.00448878,7.00748e-05,4.40244e-05,1.81551e-05,3.97138e-05
-2084,-0.00111418,0.00791331,0.00409387,0.00520805,1.94956e-07,0,4.84078e-09,-0.00111399,-0.00111399,0.0014104,0.000724485,0.000199382,3.63601e-10,7.81307e-07,-5.57322e-07,5.1635e-11,0.00512954,0.161214,0.0673033,0.00317434,0.00300108,9.13243e-10,8.05633e-05,8.43923e-08,0.000108509,5.06315e-07,5.45946e-09,0,5.97201e-11,0.010426,0.00448683,7.13665e-05,4.76746e-05,1.77943e-05,3.55176e-05
-2083,-0.00106898,0.00779331,0.00405801,0.00512699,1.77973e-07,0,6.63991e-09,-0.00106881,-0.00106881,0.00130167,0.000678324,0.000191862,7.50751e-10,7.65489e-07,-5.58019e-07,7.08257e-11,0.00450625,0.15963,0.0672754,0.00313505,0.00355544,9.55326e-10,7.78932e-05,2.49799e-07,9.41038e-05,5.10288e-07,4.98387e-09,0,8.0471e-11,0.0103221,0.00448495,6.94698e-05,5.36538e-05,1.79262e-05,4.16102e-05
-2082,-0.000602882,0.00874135,0.00448885,0.00509174,1.57437e-07,0,1.70563e-09,-0.000602726,-0.000602726,0.00155386,0.000632526,0.000173732,6.43535e-10,8.13048e-07,-5.89728e-07,1.81934e-11,0.00375441,0.15819,0.0672476,0.00322798,0.00430001,9.52166e-10,8.41205e-05,9.37358e-08,8.06587e-05,5.06315e-07,4.40879e-09,0,1.90612e-11,0.0102237,0.00448308,7.08525e-05,6.05788e-05,1.62174e-05,5.32416e-05
-2081,-0.00122567,0.00797914,0.00383374,0.00505941,1.40932e-07,0,4.22838e-08,-0.00122557,-0.00122557,0.00127035,0.000594168,0.000183377,4.30186e-10,8.03147e-07,-6.14053e-07,4.51028e-10,0.00459778,0.156537,0.0672203,0.00301272,0.00494398,9.1966e-10,6.91953e-05,9.01147e-08,0.00010407,5.07445e-07,3.94661e-09,0,5.06949e-10,0.0101237,0.00448124,6.43876e-05,6.63342e-05,1.53207e-05,5.12765e-05
-2080,-0.000637366,0.00837928,0.00413812,0.00477549,1.21384e-07,0,1.45234e-07,-0.00063739,-0.00063739,0.00138863,0.000535198,0.000236707,3.88671e-10,7.37343e-07,-5.60867e-07,1.54916e-09,0.00508987,0.154998,0.0671914,0.00310932,0.00574935,9.23502e-10,7.57188e-05,1.86406e-07,0.000102793,5.1098e-07,3.39918e-09,0,1.70002e-09,0.0100245,0.00447929,6.51449e-05,7.62193e-05,1.59675e-05,3.69398e-05
-2079,-0.000698042,0.00859616,0.00406227,0.00476031,1.02926e-07,0,7.01455e-10,-0.000697939,-0.000697939,0.00142543,0.000550356,0.000227668,1.1498e-10,7.55095e-07,-5.64802e-07,7.48218e-12,0.00412989,0.153576,0.0671642,0.00303669,0.00654656,9.80938e-10,7.16125e-05,1.30917e-07,7.79539e-05,5.06315e-07,2.88229e-09,0,8.06488e-12,0.00993339,0.00447745,6.24398e-05,8.3725e-05,1.26153e-05,4.91224e-05
-2078,-0.000530249,0.00874233,0.00424361,0.00477386,8.16972e-08,0,2.44401e-08,-0.000530192,-0.000530192,0.00142103,0.000565487,0.000295525,2.04805e-10,7.01292e-07,-5.30943e-07,2.60694e-10,0.00450625,0.152045,0.0671347,0.00303399,0.00755029,9.44201e-10,7.20903e-05,2.08008e-07,9.60432e-05,5.19355e-07,2.28781e-09,0,2.73333e-10,0.00983745,0.00447546,6.0807e-05,9.34327e-05,1.46655e-05,3.94192e-05
-2077,-0.000561117,0.00872892,0.00407679,0.00463791,6.32344e-08,0,5.13508e-09,-0.000561059,-0.000561059,0.00146003,0.000629818,0.000401452,1.21056e-10,6.27106e-07,-4.9284e-07,5.47742e-11,0.00658806,0.150612,0.0671061,0.00296876,0.0084873,9.40945e-10,6.2781e-05,2.74842e-07,9.84104e-05,5.37281e-07,1.77079e-09,0,5.70244e-11,0.00974641,0.00447352,5.72339e-05,9.7689e-05,1.5235e-05,3.13382e-05
-2076,-0.000973932,0.00829354,0.00358369,0.00455762,5.20076e-08,0,5.905e-08,-0.000973939,-0.000973939,0.00137483,0.000478773,0.000260197,2.80674e-10,7.60047e-07,-5.88308e-07,6.29867e-10,0.00431883,0.14908,0.0670759,0.00289599,0.00911872,9.50817e-10,5.47607e-05,1.90635e-07,8.40249e-05,5.24164e-07,1.4564e-09,0,6.38138e-10,0.00965154,0.00447147,5.3351e-05,9.9978e-05,1.48221e-05,4.47095e-05
-2075,0.000208806,0.0096324,0.00460285,0.00439404,2.92112e-08,0,6.00024e-10,0.000208835,0.000208835,0.00173477,0.000478989,0.000353414,1.85604e-11,6.84096e-07,-5.03195e-07,6.40025e-12,0.00450899,0.147737,0.0670458,0.00303312,0.0105342,9.31587e-10,8.16337e-05,5.34098e-07,8.12837e-05,5.53444e-07,8.18018e-10,0,6.06781e-12,0.00956147,0.00446941,5.50257e-05,0.00012462,1.14016e-05,3.11612e-05
